smiles,synthon_id,synthon_number,bb_id
Cl.COC(=O)[C@@H](N)CC=1C=CC(F)=CC1,13157912,1,EN300-399337
Cl.COC(=O)C(N)C=1C=CC=C2C=CC=CC12,13157946,1,EN300-237448
Cl.COC(=O)C(N)C=1C=CC=CC1OC(F)(F)F,13157980,1,EN300-134890
COC(=O)C=1C=C(N)C=CC1SC,13159800,1,EN300-393391
Cl.COC(=O)C=1C=CC=2NC=C(C3CCNCC3)C2C1,13162932,1,EN300-396374
Cl.Cl.COC(=O)C=1C=CC(CN)=CN1,13193868,1,EN300-97452
Cl.Cl.COC(=O)C(N)C=1C=CC=NC1,13193870,1,EN300-234137
Cl.COC(=O)C1=CN=C(CCN)S1,13215380,1,EN300-655537
Cl.COC(=O)C(N)C=1C=CC(=CC1)C(F)(F)F,13229114,1,EN300-316396
Cl.COC(=O)C=1C=C(C)C=C(N)C1,13229502,1,EN300-702547
COC(=O)CN1N=CC=2C=CC(N)=CC12,13229556,1,EN300-658610
Cl.COC(=O)C=1C=CC(N)=CC1F,13229604,1,EN300-657261
Cl.Cl.COC(=O)CN1CCCNCC1,13233406,1,EN300-30906
COC(=O)CN1CCN(CC1)C=2C=CC(N)=CC2,13235636,1,EN300-69230
Cl.COC(=O)C(CN)CC=1C=CC(O)=CC1,13235806,1,EN300-69412
Cl.Cl.COC(=O)C1CCN(CCCN)CC1,13236878,1,EN300-75353
CCOC(=O)C=1C=C(N)C=CC1O,13239594,1,EN300-225644
Cl.CCOC(=O)C(C)(O)CN,13239718,1,EN300-135795
Cl.Cl.CCOC(=O)C(N)CC=1C=CN=CC1,13241838,1,EN300-101263
Cl.COC(=O)C=1C=CC=C(NC2CCNCC2)C1,13242264,1,EN300-112909
Cl.Cl.COC(=O)CCN1CCNCC1C,13242700,1,EN300-125430
CCOC(=O)C=1C=C(N)C(F)=CC1C,13243230,1,EN300-201375
Cl.COC(=O)C1=NNC=2CCNCC12,13243666,1,EN300-246549
Cl.Cl.COC(=O)C=1C=CC(CN)=NC1,13243690,1,EN300-197918
Cl.Cl.COC(=O)C=1C=CC=2NC(CN)=NC2C1,13243978,1,EN300-214654
Cl.COC(=O)[C@@H](O)CN,13245008,1,EN300-120296
Cl.COC(=O)C(O)C1CCNCC1,13245022,1,EN300-107730
COC(=O)C=1C=C(N)C=2N=CC=CC2C1,13267090,1,EN300-90077
Cl.COC(=O)C=1C=CC=CC1CCN,13267168,1,EN300-708686
Cl.CNCC1=CC=C(O1)C(=O)OC,13267244,1,EN300-187519
"Cl.COC(=O)[C@@H]1CCN[C@H](C)C1 |&1:5,9,r|",13267436,1,EN300-705891
CCOC(=O)C(C)(CN)CC(C)C,13267536,1,EN300-702878
"Cl.COC(=O)[C@@H]1C[C@H](N)[C@H]2C[C@H]21 |&1:5,7,9,11,r|",13267562,1,EN300-705560
Cl.COC(=O)CCC1(N)CCCCC1,13269324,1,EN300-716128
COC(=O)C=1C=CC(OC)=C(N)C1,13272548,1,EN300-731704
COC(=O)C1=CC(N)=NN1C,13421976,1,EN300-110104
Cl.Cl.COC(=O)C(N)CN1C=CC=N1,13422008,1,EN300-724965
Cl.Cl.CCOC(=O)C=1N=C(CN)SC1C,13422014,1,EN300-754651
Cl.CCOC(=O)C1(CCOCC1)C(C)N,13423744,1,EN300-724818
Cl.COC(=O)C=1C=C2C(N)CCCN2N1,13432438,1,EN300-658884
Cl.COC(=O)C=1C=CC=2CNCCOC2C1,13439442,1,EN300-746183
Cl.COC(=O)C1CC2(C1)CC(N)CCS2,13440434,1,EN300-747175
Cl.COC(=O)C=1C=CC=2C=C(CCN)OC2C1,13441996,1,EN300-736661
Cl.COC(=O)C[C@H](N)CC=1C=CC=CC1,13445142,1,EN300-729569
Cl.COC(=O)C=1C=CC(N)=CC1Cl,13445818,1,EN300-751115
COC(=O)C(CN)CC1CCCC1,13446126,1,EN300-748742
"Cl.COC(=O)[C@@H]1CC=C[C@@H](N)C1 |&1:5,9,r|",13447408,1,EN300-751118
COC(=O)C1(CCCCN)CCC1,13447476,1,EN300-623911
Cl.COC(=O)C=1C=NN2CCNCC12,13450752,1,EN300-761573
